Dataset Name, Distinct Words : Total Words Ratio, Class Imbalance, Class Shannon Diversity, Maximum Unigram Hellinger Distance, Mean Unigram Mutual Information Between Classes, Difficulty Measure
CM_and_DFG,0.14219908235194287,0.5776457055214723,0.5155121323852826,0.4269841241782042,1.0431508465098973,2.7054918909467993
DB_PEDIA,0.030769126509842593,0.0,2.6390573296152584,0.5950162819974408,0.23018585092227803,3.4950285890448196
DB_PEDIA_0_1,0.06824424310763108,0.05860805860805851,2.5580218436605744,0.5683144873839059,0.2550969597018737,3.5082855924620437
DFG,0.13882169272503844,0.5983030303030303,1.393189850404057,0.685782157163231,1.487723295121532,4.303820025716888
DFG_and_AT,0.08923712782773185,0.11276894799437781,0.686775217229617,0.5480623529362824,0.9809930046050361,2.417836650593045
DFG_and_ATIS_Int,0.08567277062647864,0.04973491542539765,0.6919098892729365,0.44411135781765654,0.9882872884235234,2.2597162215659927
DT,0.2042361700974102,0.13913386863235488,0.6834365910770501,0.5706561207511878,1.5027692191134117,3.1002319696714147
DT_and_AT,0.10894786017438553,0.14497057999439616,0.6826018254068058,0.5720707394825733,1.191868651110911,2.7004596561690715
DT_and_ATIS_Int,0.11667669525664691,0.0022380200105318604,0.6931446761910709,0.25844377862749424,1.1230500596265998,2.193553229712344
ENR,0.07296255256124033,0.5952082960843912,0.5037058951385824,0.7855698296963898,2.0857953254572643,4.043241898937868
FAKE_2,0.001,0.0,4.605170185988082,0.29289321881345265,0.016094379124341,4.915157783925876
GPR,0.01617721951856271,0.9939674240900866,0.9224149867211308,0.838567588153456,1.2924966637126314,4.063623882195868
HS,0.1322923147111277,0.868841749289063,0.6782965834155161,0.5915269978027964,1.2938069355231339,3.5647645807416373
LMRC,0.026953766023735344,0.0008571428571428896,0.6931468132129616,0.8190389316367667,1.8388268582884941,3.3788235120191006
LMRC_and_AT,0.027381963577356606,0.5492397454031117,0.5336335538113697,0.510837095089243,1.0772149279151848,2.698307285796266
LMRC_and_ATIS_Int,0.026243870978219137,0.6434239564257878,0.4687875798340745,0.2580423489299878,1.0840605555000604,2.48055831166813
